compound_sentiment KDE Curve Data
=================================

        x  kde_density
-0.966700     0.043703
-0.956841     0.048997
-0.946981     0.054663
-0.937122     0.060695
-0.927263     0.067082
-0.917404     0.073807
-0.907544     0.080853
-0.897685     0.088195
-0.887826     0.095804
-0.877966     0.103648
-0.868107     0.111690
-0.858248     0.119892
-0.848388     0.128212
-0.838529     0.136604
-0.828670     0.145024
-0.818811     0.153427
-0.808951     0.161771
-0.799092     0.170013
-0.789233     0.178117
-0.779373     0.186050
-0.769514     0.193786
-0.759655     0.201302
-0.749795     0.208585
-0.739936     0.215627
-0.730077     0.222427
-0.720218     0.228987
-0.710358     0.235318
-0.700499     0.241430
-0.690640     0.247337
-0.680780     0.253053
-0.670921     0.258591
-0.661062     0.263959
-0.651203     0.269162
-0.641343     0.274199
-0.631484     0.279066
-0.621625     0.283749
-0.611765     0.288230
-0.601906     0.292487
-0.592047     0.296493
-0.582187     0.300221
-0.572328     0.303641
-0.562469     0.306728
-0.552610     0.309458
-0.542750     0.311814
-0.532891     0.313785
-0.523032     0.315365
-0.513172     0.316560
-0.503313     0.317380
-0.493454     0.317844
-0.483594     0.317976
-0.473735     0.317803
-0.463876     0.317357
-0.454017     0.316671
-0.444157     0.315777
-0.434298     0.314704
-0.424439     0.313481
-0.414579     0.312132
-0.404720     0.310678
-0.394861     0.309141
-0.385002     0.307538
-0.375142     0.305890
-0.365283     0.304219
-0.355424     0.302557
-0.345564     0.300943
-0.335705     0.299433
-0.325846     0.298099
-0.315986     0.297036
-0.306127     0.296366
-0.296268     0.296240
-0.286409     0.296845
-0.276549     0.298403
-0.266690     0.301174
-0.256831     0.305458
-0.246971     0.311590
-0.237112     0.319936
-0.227253     0.330889
-0.217393     0.344855
-0.207534     0.362239
-0.197675     0.383431
-0.187816     0.408780
-0.177956     0.438573
-0.168097     0.473009
-0.158238     0.512171
-0.148378     0.556002
-0.138519     0.604282
-0.128660     0.656606
-0.118801     0.712379
-0.108941     0.770811
-0.099082     0.830924
-0.089223     0.891572
-0.079363     0.951473
-0.069504     1.009250
-0.059645     1.063481
-0.049785     1.112759
-0.039926     1.155750
-0.030067     1.191258
-0.020208     1.218281
-0.010348     1.236062
-0.000489     1.244128
 0.009370     1.242312
 0.019230     1.230766
 0.029089     1.209953
 0.038948     1.180621
 0.048808     1.143771
 0.058667     1.100603
 0.068526     1.052459
 0.078385     1.000766
 0.088245     0.946969
 0.098104     0.892473
 0.107963     0.838593
 0.117823     0.786506
 0.127682     0.737224
 0.137541     0.691568
 0.147401     0.650162
 0.157260     0.613431
 0.167119     0.581613
 0.176978     0.554776
 0.186838     0.532841
 0.196697     0.515607
 0.206556     0.502778
 0.216416     0.493989
 0.226275     0.488831
 0.236134     0.486873
 0.245993     0.487675
 0.255853     0.490809
 0.265712     0.495864
 0.275571     0.502457
 0.285431     0.510233
 0.295290     0.518872
 0.305149     0.528085
 0.315009     0.537612
 0.324868     0.547228
 0.334727     0.556732
 0.344586     0.565951
 0.354446     0.574736
 0.364305     0.582963
 0.374164     0.590529
 0.384024     0.597356
 0.393883     0.603387
 0.403742     0.608588
 0.413602     0.612948
 0.423461     0.616475
 0.433320     0.619201
 0.443179     0.621172
 0.453039     0.622453
 0.462898     0.623120
 0.472757     0.623262
 0.482617     0.622969
 0.492476     0.622338
 0.502335     0.621461
 0.512194     0.620428
 0.522054     0.619320
 0.531913     0.618209
 0.541772     0.617156
 0.551632     0.616211
 0.561491     0.615411
 0.571350     0.614783
 0.581210     0.614343
 0.591069     0.614099
 0.600928     0.614048
 0.610787     0.614183
 0.620647     0.614488
 0.630506     0.614942
 0.640365     0.615518
 0.650225     0.616186
 0.660084     0.616907
 0.669943     0.617638
 0.679803     0.618331
 0.689662     0.618932
 0.699521     0.619381
 0.709380     0.619614
 0.719240     0.619562
 0.729099     0.619153
 0.738958     0.618312
 0.748818     0.616962
 0.758677     0.615026
 0.768536     0.612427
 0.778395     0.609089
 0.788255     0.604937
 0.798114     0.599898
 0.807973     0.593904
 0.817833     0.586890
 0.827692     0.578794
 0.837551     0.569563
 0.847411     0.559148
 0.857270     0.547510
 0.867129     0.534623
 0.876988     0.520470
 0.886848     0.505051
 0.896707     0.488386
 0.906566     0.470510
 0.916426     0.451485
 0.926285     0.431391
 0.936144     0.410334
 0.946004     0.388444
 0.955863     0.365871
 0.965722     0.342785
 0.975581     0.319373
 0.985441     0.295833
 0.995300     0.272370
