word_count KDE Curve Data
=========================

         x  kde_density
  1.000000 1.805857e-02
  3.673367 2.260559e-02
  6.346734 2.611812e-02
  9.020101 2.804113e-02
 11.693467 2.820469e-02
 14.366834 2.683568e-02
 17.040201 2.441904e-02
 19.713568 2.149960e-02
 22.386935 1.852475e-02
 25.060302 1.577695e-02
 27.733668 1.338446e-02
 30.407035 1.136787e-02
 33.080402 9.687592e-03
 35.753769 8.279210e-03
 38.427136 7.077905e-03
 41.100503 6.034272e-03
 43.773869 5.120895e-03
 46.447236 4.329376e-03
 49.120603 3.661020e-03
 51.793970 3.116721e-03
 54.467337 2.690646e-03
 57.140704 2.369349e-03
 59.814070 2.135051e-03
 62.487437 1.970138e-03
 65.160804 1.859774e-03
 67.834171 1.791060e-03
 70.507538 1.749946e-03
 73.180905 1.719208e-03
 75.854271 1.680138e-03
 78.527638 1.617393e-03
 81.201005 1.523604e-03
 83.874372 1.400549e-03
 86.547739 1.256576e-03
 89.221106 1.102579e-03
 91.894472 9.490400e-04
 94.567839 8.048245e-04
 97.241206 6.767760e-04
 99.914573 5.691109e-04
102.587940 4.827327e-04
105.261307 4.153980e-04
107.934673 3.632516e-04
110.608040 3.230435e-04
113.281407 2.935615e-04
115.954774 2.752211e-04
118.628141 2.680775e-04
121.301508 2.697494e-04
123.974874 2.749335e-04
126.648241 2.771366e-04
129.321608 2.716501e-04
131.994975 2.577892e-04
134.668342 2.388430e-04
137.341709 2.197437e-04
140.015075 2.039975e-04
142.688442 1.918130e-04
145.361809 1.804989e-04
148.035176 1.667817e-04
150.708543 1.495799e-04
153.381910 1.314992e-04
156.055276 1.180329e-04
158.728643 1.148005e-04
161.402010 1.243597e-04
164.075377 1.444262e-04
166.748744 1.685510e-04
169.422111 1.889251e-04
172.095477 1.998115e-04
174.768844 1.998005e-04
177.442211 1.917896e-04
180.115578 1.808916e-04
182.788945 1.716160e-04
185.462312 1.659678e-04
188.135678 1.633500e-04
190.809045 1.618624e-04
193.482412 1.597754e-04
196.155779 1.562377e-04
198.829146 1.511864e-04
201.502513 1.449660e-04
204.175879 1.379717e-04
206.849246 1.303147e-04
209.522613 1.215992e-04
212.195980 1.110994e-04
214.869347 9.839365e-05
217.542714 8.399499e-05
220.216080 6.939013e-05
222.889447 5.642095e-05
225.562814 4.653983e-05
228.236181 4.047418e-05
230.909548 3.830786e-05
233.582915 3.959954e-05
236.256281 4.332606e-05
238.929648 4.786056e-05
241.603015 5.129424e-05
244.276382 5.207272e-05
246.949749 4.956886e-05
249.623116 4.424823e-05
252.296482 3.740111e-05
254.969849 3.064432e-05
257.643216 2.538385e-05
260.316583 2.235247e-05
262.989950 2.135432e-05
265.663317 2.137628e-05
268.336683 2.109217e-05
271.010050 1.952419e-05
273.683417 1.647729e-05
276.356784 1.250462e-05
279.030151 8.493983e-06
281.703518 5.201191e-06
284.376884 3.016549e-06
287.050251 2.021534e-06
289.723618 2.188315e-06
292.396985 3.523702e-06
295.070352 6.040228e-06
297.743719 9.573435e-06
300.417085 1.359270e-05
303.090452 1.720669e-05
305.763819 1.947455e-05
308.437186 1.991389e-05
311.110553 1.889956e-05
313.783920 1.765278e-05
316.457286 1.774519e-05
319.130653 2.032195e-05
321.804020 2.541383e-05
324.477387 3.170806e-05
327.150754 3.698395e-05
329.824121 3.909085e-05
332.497487 3.697753e-05
335.170854 3.116629e-05
337.844221 2.339664e-05
340.517588 1.572865e-05
343.190955 9.717519e-06
345.864322 6.093519e-06
348.537688 4.926350e-06
351.211055 5.937985e-06
353.884422 8.658753e-06
356.557789 1.238288e-05
359.231156 1.611637e-05
361.904523 1.873467e-05
364.577889 1.936867e-05
367.251256 1.779156e-05
369.924623 1.451766e-05
372.597990 1.052270e-05
375.271357 6.774881e-06
377.944724 3.874527e-06
380.618090 1.968240e-06
383.291457 8.881364e-07
385.964824 3.559784e-07
388.638191 1.267389e-07
391.311558 4.008101e-08
393.984925 1.125925e-08
396.658291 2.809460e-09
399.331658 6.226994e-10
402.005025 1.225960e-10
404.678392 2.143959e-11
407.351759 3.330421e-12
410.025126 4.595523e-13
412.698492 5.647427e-14
415.371859 7.852874e-15
418.045226 1.806227e-14
420.718593 1.575715e-13
423.391960 1.261663e-12
426.065327 8.976127e-12
428.738693 5.672549e-11
431.412060 3.184270e-10
434.085427 1.587756e-09
436.758794 7.032343e-09
439.432161 2.766678e-08
442.105528 9.668511e-08
444.778894 3.001255e-07
447.452261 8.275398e-07
450.125628 2.026833e-06
452.798995 4.409527e-06
455.472362 8.521489e-06
458.145729 1.462858e-05
460.819095 2.230961e-05
463.492462 3.023427e-05
466.165829 3.643821e-05
468.839196 3.914000e-05
471.512563 3.770610e-05
474.185930 3.314463e-05
476.859296 2.775805e-05
479.532663 2.412206e-05
482.206030 2.393670e-05
484.879397 2.728799e-05
487.552764 3.261112e-05
490.226131 3.736840e-05
492.899497 3.917884e-05
495.572864 3.687866e-05
498.246231 3.095085e-05
500.919598 2.310603e-05
503.592965 1.533935e-05
506.266332 9.082649e-06
508.939698 4.887495e-06
511.613065 2.636419e-06
514.286432 1.973475e-06
516.959799 2.634691e-06
519.633166 4.524659e-06
522.306533 7.558004e-06
524.979899 1.140269e-05
527.653266 1.532483e-05
530.326633 1.830370e-05
533.000000 1.942050e-05
