comment_score KDE Curve Data
============================

          x  kde_density
 -19.000000 4.821991e-03
   1.412060 6.590585e-03
  21.824121 7.332922e-03
  42.236181 6.742687e-03
  62.648241 5.246885e-03
  83.060302 3.584166e-03
 103.472362 2.265455e-03
 123.884422 1.413714e-03
 144.296482 9.245840e-04
 164.708543 6.536417e-04
 185.120603 4.969990e-04
 205.532663 3.962140e-04
 225.944724 3.219213e-04
 246.356784 2.604151e-04
 266.768844 2.074892e-04
 287.180905 1.656722e-04
 307.592965 1.397262e-04
 328.005025 1.306981e-04
 348.417085 1.331168e-04
 368.829146 1.373279e-04
 389.241206 1.347302e-04
 409.653266 1.224071e-04
 430.065327 1.040772e-04
 450.477387 8.652761e-05
 470.889447 7.447237e-05
 491.301508 6.803177e-05
 511.713568 6.426670e-05
 532.125628 6.083290e-05
 552.537688 5.839265e-05
 572.949749 5.944815e-05
 593.361809 6.465476e-05
 613.773869 7.070552e-05
 634.185930 7.261318e-05
 654.597990 6.827058e-05
 675.010050 6.042181e-05
 695.422111 5.416010e-05
 715.834171 5.275409e-05
 736.246231 5.561100e-05
 756.658291 5.946408e-05
 777.070352 6.082482e-05
 797.482412 5.756403e-05
 817.894472 4.960129e-05
 838.306533 3.908634e-05
 858.718593 2.927503e-05
 879.130653 2.235902e-05
 899.542714 1.842183e-05
 919.954774 1.642378e-05
 940.366834 1.551975e-05
 960.778894 1.523805e-05
 981.190955 1.504939e-05
1001.603015 1.429326e-05
1022.015075 1.250115e-05
1042.427136 9.765138e-06
1062.839196 6.885459e-06
1083.251256 5.022194e-06
1103.663317 4.918025e-06
1124.075377 6.301361e-06
1144.487437 8.078848e-06
1164.899497 9.281231e-06
1185.311558 9.856600e-06
1205.723618 1.035932e-05
1226.135678 1.092595e-05
1246.547739 1.094924e-05
1266.959799 9.893299e-06
1287.371859 8.086259e-06
1307.783920 6.386838e-06
1328.195980 5.218428e-06
1348.608040 4.285982e-06
1369.020101 3.205206e-06
1389.432161 2.053441e-06
1409.844221 1.259644e-06
1430.256281 1.292931e-06
1450.668342 2.604567e-06
