compound_sentiment KDE Curve Data
=================================

        x  kde_density
-0.975200     0.042860
-0.965287     0.048167
-0.955374     0.053859
-0.945461     0.059930
-0.935548     0.066367
-0.925635     0.073155
-0.915722     0.080272
-0.905809     0.087692
-0.895895     0.095384
-0.885982     0.103314
-0.876069     0.111442
-0.866156     0.119728
-0.856243     0.128126
-0.846330     0.136591
-0.836417     0.145076
-0.826504     0.153536
-0.816591     0.161927
-0.806678     0.170207
-0.796765     0.178340
-0.786852     0.186294
-0.776939     0.194043
-0.767026     0.201568
-0.757113     0.208854
-0.747199     0.215895
-0.737286     0.222691
-0.727373     0.229247
-0.717460     0.235570
-0.707547     0.241674
-0.697634     0.247570
-0.687721     0.253272
-0.677808     0.258792
-0.667895     0.264136
-0.657982     0.269309
-0.648069     0.274308
-0.638156     0.279127
-0.628243     0.283752
-0.618330     0.288165
-0.608417     0.292342
-0.598504     0.296259
-0.588590     0.299888
-0.578677     0.303203
-0.568764     0.306180
-0.558851     0.308800
-0.548938     0.311048
-0.539025     0.312917
-0.529112     0.314409
-0.519199     0.315532
-0.509286     0.316302
-0.499373     0.316744
-0.489460     0.316884
-0.479547     0.316757
-0.469634     0.316397
-0.459721     0.315838
-0.449808     0.315113
-0.439894     0.314253
-0.429981     0.313282
-0.420068     0.312222
-0.410155     0.311088
-0.400242     0.309891
-0.390329     0.308641
-0.380416     0.307344
-0.370503     0.306011
-0.360590     0.304656
-0.350677     0.303303
-0.340764     0.301988
-0.330851     0.300767
-0.320938     0.299715
-0.311025     0.298937
-0.301112     0.298565
-0.291198     0.298769
-0.281285     0.299756
-0.271372     0.301775
-0.261459     0.305112
-0.251546     0.310095
-0.241633     0.317088
-0.231720     0.326483
-0.221807     0.338691
-0.211894     0.354129
-0.201981     0.373205
-0.192068     0.396292
-0.182155     0.423713
-0.172242     0.455705
-0.162329     0.492404
-0.152416     0.533808
-0.142503     0.579760
-0.132589     0.629927
-0.122676     0.683784
-0.112763     0.740614
-0.102850     0.799507
-0.092937     0.859380
-0.083024     0.919003
-0.073111     0.977037
-0.063198     1.032081
-0.053285     1.082728
-0.043372     1.127627
-0.033459     1.165539
-0.023546     1.195404
-0.013633     1.216383
-0.003720     1.227910
 0.006193     1.229713
 0.016107     1.221836
 0.026020     1.204631
 0.035933     1.178743
 0.045846     1.145079
 0.055759     1.104761
 0.065672     1.059071
 0.075585     1.009397
 0.085498     0.957162
 0.095411     0.903775
 0.105324     0.850568
 0.115237     0.798755
 0.125150     0.749394
 0.135063     0.703361
 0.144976     0.661340
 0.154889     0.623816
 0.164803     0.591085
 0.174716     0.563269
 0.184629     0.540334
 0.194542     0.522116
 0.204455     0.508349
 0.214368     0.498686
 0.224281     0.492733
 0.234194     0.490059
 0.244107     0.490226
 0.254020     0.492798
 0.263933     0.497356
 0.273846     0.503501
 0.283759     0.510867
 0.293672     0.519118
 0.303585     0.527949
 0.313498     0.537091
 0.323412     0.546303
 0.333325     0.555374
 0.343238     0.564123
 0.353151     0.572393
 0.363064     0.580054
 0.372977     0.587003
 0.382890     0.593158
 0.392803     0.598466
 0.402716     0.602895
 0.412629     0.606440
 0.422542     0.609118
 0.432455     0.610968
 0.442368     0.612051
 0.452281     0.612442
 0.462194     0.612235
 0.472108     0.611531
 0.482021     0.610441
 0.491934     0.609076
 0.501847     0.607548
 0.511760     0.605962
 0.521673     0.604416
 0.531586     0.602997
 0.541499     0.601777
 0.551412     0.600817
 0.561325     0.600162
 0.571238     0.599841
 0.581151     0.599872
 0.591064     0.600256
 0.600977     0.600985
 0.610890     0.602038
 0.620804     0.603385
 0.630717     0.604987
 0.640630     0.606794
 0.650543     0.608751
 0.660456     0.610796
 0.670369     0.612860
 0.680282     0.614870
 0.690195     0.616746
 0.700108     0.618408
 0.710021     0.619771
 0.719934     0.620751
 0.729847     0.621264
 0.739760     0.621227
 0.749673     0.620560
 0.759586     0.619187
 0.769499     0.617035
 0.779413     0.614036
 0.789326     0.610128
 0.799239     0.605251
 0.809152     0.599352
 0.819065     0.592381
 0.828978     0.584291
 0.838891     0.575042
 0.848804     0.564598
 0.858717     0.552930
 0.868630     0.540017
 0.878543     0.525847
 0.888456     0.510423
 0.898369     0.493762
 0.908282     0.475897
 0.918195     0.456883
 0.928109     0.436796
 0.938022     0.415735
 0.947935     0.393824
 0.957848     0.371206
 0.967761     0.348047
 0.977674     0.324531
 0.987587     0.300853
 0.997500     0.277220
