word_count KDE Curve Data
=========================

         x  kde_density
  1.000000 1.789342e-02
  3.673367 2.219435e-02
  6.346734 2.552794e-02
  9.020101 2.739060e-02
 11.693467 2.761355e-02
 14.366834 2.638099e-02
 17.040201 2.412054e-02
 19.713568 2.133470e-02
 22.386935 1.845542e-02
 25.060302 1.576959e-02
 27.733668 1.341559e-02
 30.407035 1.142123e-02
 33.080402 9.751142e-03
 35.753769 8.345719e-03
 38.427136 7.146608e-03
 41.100503 6.110024e-03
 43.773869 5.210093e-03
 46.447236 4.435002e-03
 49.120603 3.779746e-03
 51.793970 3.239413e-03
 54.467337 2.805584e-03
 57.140704 2.466282e-03
 59.814070 2.208178e-03
 62.487437 2.018880e-03
 65.160804 1.887493e-03
 67.834171 1.802934e-03
 70.507538 1.751447e-03
 73.180905 1.715783e-03
 75.854271 1.677540e-03
 78.527638 1.621675e-03
 81.201005 1.540327e-03
 83.874372 1.433620e-03
 86.547739 1.307438e-03
 89.221106 1.170129e-03
 91.894472 1.030126e-03
 94.567839 8.949294e-04
 97.241206 7.706114e-04
 99.914573 6.610668e-04
102.587940 5.673168e-04
105.261307 4.877959e-04
107.934673 4.199782e-04
110.608040 3.624713e-04
113.281407 3.160576e-04
115.954774 2.827862e-04
118.628141 2.636451e-04
121.301508 2.564815e-04
123.974874 2.558012e-04
126.648241 2.548477e-04
129.321608 2.487557e-04
131.994975 2.367416e-04
134.668342 2.218776e-04
137.341709 2.086156e-04
140.015075 1.996954e-04
142.688442 1.943924e-04
145.361809 1.891244e-04
148.035176 1.799628e-04
150.708543 1.654819e-04
153.381910 1.482003e-04
156.055276 1.336922e-04
158.728643 1.278070e-04
161.402010 1.335485e-04
164.075377 1.493492e-04
166.748744 1.696644e-04
169.422111 1.875108e-04
172.095477 1.975613e-04
174.768844 1.981980e-04
177.442211 1.915870e-04
180.115578 1.819631e-04
182.788945 1.732577e-04
185.462312 1.674327e-04
188.135678 1.642561e-04
190.809045 1.622503e-04
193.482412 1.598946e-04
196.155779 1.563177e-04
198.829146 1.513468e-04
201.502513 1.452188e-04
204.175879 1.382300e-04
206.849246 1.304298e-04
209.522613 1.214762e-04
212.195980 1.108248e-04
214.869347 9.823308e-05
217.542714 8.422624e-05
220.216080 7.011825e-05
222.889447 5.754104e-05
225.562814 4.784976e-05
228.236181 4.179139e-05
230.909548 3.948187e-05
233.582915 4.046534e-05
236.256281 4.371479e-05
238.929648 4.769540e-05
241.603015 5.067828e-05
244.276382 5.127148e-05
246.949749 4.889562e-05
249.623116 4.394024e-05
252.296482 3.755198e-05
254.969849 3.119159e-05
257.643216 2.613151e-05
260.316583 2.303235e-05
262.989950 2.173207e-05
265.663317 2.136308e-05
268.336683 2.078858e-05
271.010050 1.915503e-05
273.683417 1.625800e-05
276.356784 1.253304e-05
279.030151 8.734515e-06
281.703518 5.550740e-06
284.376884 3.387620e-06
287.050251 2.383691e-06
289.723618 2.552520e-06
292.396985 3.892512e-06
295.070352 6.363540e-06
297.743719 9.747015e-06
300.417085 1.351445e-05
303.090452 1.686417e-05
305.763819 1.900080e-05
308.437186 1.955579e-05
311.110553 1.890039e-05
313.783920 1.811287e-05
316.457286 1.854081e-05
319.130653 2.113103e-05
321.804020 2.584872e-05
324.477387 3.150700e-05
327.150754 3.616588e-05
329.824121 3.796897e-05
332.497487 3.600048e-05
335.170854 3.068173e-05
337.844221 2.349714e-05
340.517588 1.627091e-05
343.190955 1.046547e-05
345.864322 6.856818e-06
348.537688 5.604067e-06
351.211055 6.474947e-06
353.884422 8.988582e-06
356.557789 1.242536e-05
359.231156 1.583639e-05
361.904523 1.820638e-05
364.577889 1.877536e-05
367.251256 1.734404e-05
369.924623 1.434703e-05
372.597990 1.062644e-05
375.271357 7.047230e-06
377.944724 4.184579e-06
380.618090 2.224781e-06
383.291457 1.059071e-06
385.964824 4.514031e-07
388.638191 1.722686e-07
391.311558 5.886400e-08
393.984925 1.800924e-08
396.658291 4.933363e-09
399.331658 1.210021e-09
402.005025 2.657324e-10
404.678392 5.225143e-11
407.351759 9.199288e-12
410.025126 1.450225e-12
412.698492 2.055320e-13
415.371859 3.415004e-14
418.045226 7.488457e-14
420.718593 5.599605e-13
423.391960 3.897464e-12
426.065327 2.430150e-11
428.738693 1.356716e-10
431.412060 6.781828e-10
434.085427 3.035335e-09
436.758794 1.216378e-08
439.432161 4.364480e-08
442.105528 1.402163e-07
444.778894 4.033360e-07
447.452261 1.038815e-06
450.125628 2.395592e-06
452.798995 4.946463e-06
455.472362 9.145176e-06
458.145729 1.514006e-05
460.819095 2.244727e-05
463.492462 2.981731e-05
466.165829 3.552215e-05
468.839196 3.806211e-05
471.512563 3.696182e-05
474.185930 3.317272e-05
476.859296 2.879402e-05
479.532663 2.622867e-05
482.206030 2.718942e-05
484.879397 3.199062e-05
487.552764 3.938585e-05
490.226131 4.700020e-05
492.899497 5.220641e-05
495.572864 5.310937e-05
498.246231 4.921520e-05
500.919598 4.148875e-05
503.592965 3.182209e-05
506.266332 2.224090e-05
508.939698 1.425981e-05
511.613065 8.632560e-06
514.286432 5.477776e-06
516.959799 4.573063e-06
519.633166 5.583858e-06
522.306533 8.105332e-06
524.979899 1.156124e-05
527.653266 1.512436e-05
530.326633 1.781879e-05
533.000000 1.882288e-05
